,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Quad 1 Wins,Quad 1 Losses,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
28,West Virginia,B12,Midwest,0.0,0.0,1.0,0.0,26.0,18.0,8.0,196.0,549.0,0.356999993,469.0,654.0,0.717000008,1030.0,962.0,68.0,363.0,373.0,328.0,1.13719511,21.0,7.0,7.0,2087.0,77.29629517,1947.0,72.1111145,140.0,5.185184956
29,Florida,SEC,South,0.0,0.0,1.0,1.0,22.0,14.0,8.0,157.0,440.0,0.356999993,334.0,441.0,0.757000029,809.0,785.0,24.0,230.0,272.0,337.0,0.807121634,23.0,5.0,5.0,1701.0,73.95652008,1606.0,69.82608795,95.0,4.13043499
30,Iona,MAAC,East,1.0,1.0,0.0,1.0,16.0,12.0,4.0,127.0,358.0,0.354999989,255.0,343.0,0.742999971,637.0,535.0,102.0,189.0,237.0,266.0,0.890977442,309.0,0.0,0.0,1228.0,72.23529053,1121.0,65.94117737,107.0,6.294117451
31,St. Bonaventure,A10,East,1.0,1.0,0.0,0.0,19.0,16.0,3.0,131.0,370.0,0.354000002,237.0,323.0,0.734000027,745.0,659.0,86.0,229.0,296.0,221.0,1.339366555,90.0,0.0,0.0,1410.0,70.5,1207.0,60.34999847,203.0,10.14999962
32,Eastern Washington,BSky,West,1.0,1.0,0.0,0.0,22.0,16.0,6.0,194.0,548.0,0.354000002,325.0,413.0,0.787,815.0,793.0,22.0,175.0,347.0,264.0,1.314393997,220.0,0.0,0.0,1795.0,78.04347992,1597.0,69.43478394,198.0,8.608695984
33,Abilene Christian,Slnd,East,1.0,1.0,1.0,1.0,26.0,23.0,3.0,214.0,606.0,0.352999985,384.0,571.0,0.672999978,980.0,912.0,68.0,309.0,491.0,374.0,1.312834263,293.0,0.0,0.0,2096.0,77.62963104,1634.0,60.51852036,462.0,17.11111069
34,Winthrop,BSth,South,1.0,1.0,0.0,0.0,23.0,23.0,0.0,203.0,575.0,0.352999985,358.0,522.0,0.68599999,966.0,751.0,215.0,312.0,361.0,340.0,1.061764717,338.0,0.0,0.0,1909.0,79.54166412,1603.0,66.79166412,306.0,12.75
35,Maryland,B10,East,1.0,0.0,1.0,1.0,28.0,16.0,12.0,234.0,663.0,0.352999985,363.0,517.0,0.702000022,965.0,972.0,-7.0,188.0,385.0,324.0,1.188271642,24.0,4.0,10.0,1995.0,68.79310608,1884.0,64.96551514,111.0,3.827586174
36,Oregon St.,P12,Midwest,1.0,1.0,3.0,0.0,28.0,17.0,11.0,203.0,575.0,0.352999985,422.0,557.0,0.758000016,977.0,969.0,8.0,299.0,426.0,328.0,1.298780441,70.0,5.0,5.0,2049.0,70.65517426,1981.0,68.31034851,68.0,2.344827652
37,Villanova,BE,South,0.0,0.0,2.0,1.0,21.0,16.0,5.0,203.0,576.0,0.351999998,297.0,388.0,0.764999986,755.0,722.0,33.0,211.0,336.0,199.0,1.68844223,44.0,5.0,3.0,1662.0,75.54545593,1477.0,67.13636017,185.0,8.409090996
38,UC Santa Barbara,BW,West,1.0,1.0,0.0,0.0,25.0,22.0,3.0,176.0,501.0,0.351000011,379.0,505.0,0.75,915.0,773.0,142.0,241.0,423.0,285.0,1.484210491,211.0,0.0,0.0,1989.0,76.5,1633.0,62.80769348,356.0,13.69230747
39,Alabama,SEC,East,0.0,1.0,2.0,0.0,29.0,24.0,5.0,320.0,912.0,0.351000011,399.0,554.0,0.720000029,1215.0,1167.0,48.0,372.0,426.0,420.0,1.014285684,30.0,8.0,4.0,2387.0,79.56666565,2093.0,69.76667023,294.0,9.800000191
40,Morehead St.,OVC,Midwest,1.0,1.0,0.0,0.0,29.0,23.0,6.0,197.0,562.0,0.351000011,392.0,575.0,0.681999981,1125.0,928.0,197.0,309.0,382.0,459.0,0.832243979,183.0,0.0,0.0,2065.0,68.83333588,1902.0,63.40000153,163.0,5.433333397
41,LSU,SEC,East,0.0,0.0,1.0,1.0,26.0,18.0,8.0,220.0,628.0,0.349999994,429.0,575.0,0.745999992,1034.0,1028.0,6.0,310.0,332.0,317.0,1.047318578,34.0,5.0,8.0,2217.0,82.1111145,2034.0,75.33333588,183.0,6.777777672
42,Georgia Tech,ACC,Midwest,1.0,1.0,0.0,0.0,24.0,17.0,7.0,189.0,542.0,0.349000007,309.0,425.0,0.726999998,770.0,860.0,-90.0,204.0,401.0,278.0,1.442445993,47.0,3.0,6.0,1888.0,75.51999664,1750.0,70.0,138.0,5.519999981
43,USC,P12,West,0.0,0.0,3.0,0.0,29.0,22.0,7.0,183.0,526.0,0.348,409.0,632.0,0.647,1145.0,936.0,209.0,354.0,396.0,361.0,1.096953,67.0,3.0,4.0,2168.0,74.75862,1888.0,65.10345,280.0,9.655172
44,Texas Tech,B12,South,0.0,0.0,1.0,1.0,26.0,17.0,9.0,168.0,485.0,0.345999986,432.0,608.0,0.711000025,948.0,891.0,57.0,316.0,350.0,296.0,1.182432413,43.0,4.0,10.0,1972.0,73.03704071,1712.0,63.40740585,260.0,9.629630089
