,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
189,78.0,"[20, 16, 12]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
190,84.0,"[20, 16, 12]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
191,68.0,"[20, 16, 12]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
192,86.0,"[20, 16, 12]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
193,87.0,"[20, 16, 12]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
194,96.0,"[20, 16, 12]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
195,85.0,"[16, 12, 8]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
196,72.0,"[16, 12, 8]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
197,74.0,"[16, 12, 8]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
198,90.0,"[16, 12, 8]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
199,146.0,"[16, 12, 8]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
200,80.0,"[16, 12, 8]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
201,98.0,"[16, 12, 8]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
202,73.0,"[16, 12, 8]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
203,87.0,"[16, 12, 8]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
204,91.0,"[16, 12, 8]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
205,90.0,"[16, 12, 8]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
206,82.0,"[16, 12, 8]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
207,76.0,"[16, 12, 8]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
208,90.0,"[16, 12, 8]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
209,141.0,"[16, 12, 8]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
210,98.0,"[20, 16, 12, 8]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
211,84.0,"[20, 16, 12, 8]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
212,85.0,"[20, 16, 12, 8]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
213,98.0,"[20, 16, 12, 8]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
214,99.0,"[20, 16, 12, 8]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
215,79.0,"[20, 16, 12, 8]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
216,143.0,"[20, 16, 12, 8]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
217,138.0,"[20, 16, 12, 8]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
218,87.0,"[20, 16, 12, 8]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
219,146.0,"[20, 16, 12, 8]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
220,68.0,"[20, 16, 12, 8]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
221,98.0,"[20, 16, 12, 8]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
222,90.0,"[20, 16, 12, 8]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
223,98.0,"[20, 16, 12, 8]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
224,103.0,"[20, 16, 12, 8]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
