,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Quad 1 Wins,Quad 1 Losses
412,Liberty,ASun,Midwest,1.0,1.0,0.0,1.0,27.0,23.0,4.0,289.0,740.0,0.391000003,286.0,368.0,0.77700001,934.0,829.0,105.0,198.0,446.0,271.0,1.6457564830000002,298.0,,,2097.0,74.89286041,1670.0,59.6428566,427.0,15.25,2021,0.0,0.0
413,Florida St.,ACC,East,0.0,0.0,2.0,1.0,21.0,16.0,5.0,181.0,464.0,0.389999986,315.0,427.0,0.7379999759999999,822.0,722.0,100.0,255.0,322.0,315.0,1.022222281,48.0,,,1736.0,78.90908813,1547.0,70.31818390000001,189.0,8.590909004,2021,3.0,4.0
414,Oral Roberts,Sum,South,1.0,1.0,2.0,0.0,25.0,16.0,9.0,294.0,753.0,0.389999986,364.0,442.0,0.8240000009999999,915.0,1013.0,-98.0,219.0,329.0,299.0,1.100334406,165.0,,,2126.0,81.7692337,1970.0,75.7692337,156.0,6.0,2021,0.0,0.0
415,Michigan,B10,East,0.0,0.0,3.0,1.0,24.0,20.0,4.0,181.0,468.0,0.387,311.0,400.0,0.778,899.0,751.0,148.0,219.0,371.0,266.0,1.3947370000000001,20.0,,,1830.0,76.25,1569.0,65.375,261.0,10.875,2021,8.0,3.0
416,Iowa,B10,West,0.0,0.0,1.0,1.0,28.0,21.0,7.0,283.0,733.0,0.38600000700000003,420.0,589.0,0.713,1164.0,1075.0,89.0,328.0,555.0,276.0,2.0108695030000003,14.0,,,2429.0,83.75862122,2086.0,71.9310379,343.0,11.82758617,2021,8.0,6.0
417,Virginia,ACC,West,0.0,0.0,0.0,1.0,23.0,18.0,5.0,204.0,535.0,0.38100001200000005,227.0,278.0,0.8169999720000001,762.0,700.0,62.0,157.0,335.0,226.0,1.4823008780000002,46.0,,,1647.0,68.625,1451.0,60.45833206,196.0,8.166666985,2021,5.0,4.0
418,Oregon,P12,West,0.0,0.0,2.0,1.0,25.0,20.0,5.0,218.0,575.0,0.37900000799999994,286.0,406.0,0.703999996,859.0,834.0,25.0,238.0,349.0,297.0,1.175084233,77.0,,,1934.0,74.38461304,1753.0,67.42308044,181.0,6.961538315,2021,2.0,3.0
419,BYU,WCC,East,0.0,0.0,0.0,0.0,26.0,20.0,6.0,233.0,616.0,0.37799999999999995,312.0,427.0,0.731,1024.0,846.0,178.0,247.0,431.0,346.0,1.245665,80.0,,,2047.0,78.73076999999999,1780.0,68.46154,267.0,10.26923,2021,3.0,4.0
420,Illinois,B10,Midwest,0.0,1.0,1.0,0.0,28.0,23.0,5.0,197.0,524.0,0.37599998700000004,462.0,669.0,0.690999985,1172.0,880.0,292.0,313.0,473.0,382.0,1.238219857,2.0,,,2361.0,81.41379547,2008.0,69.24137878,353.0,12.17241383,2021,12.0,5.0
421,North Texas,CUSA,South,1.0,1.0,1.0,0.0,25.0,17.0,8.0,197.0,524.0,0.37599998700000004,282.0,384.0,0.734000027,867.0,797.0,70.0,224.0,347.0,343.0,1.011661768,111.0,,,1815.0,69.80769348,1592.0,61.23077011,223.0,8.57692337,2021,0.0,0.0
