,Cinderella,Number of Tournament Wins,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,optimalrank,Region_East,Region_Midwest,Region_South,Region_West,Wins vs Top Teams,Losses vs Top Teams
73,0.0,3.0,0.06961963963093966,-0.05212070102879409,0.12961526934804715,1.4723889395079455,1.6640803222422391,0.1204559556285667,-0.7245215970774961,-0.8348611674209928,0.5178451448708378,0.0984302712481391,-0.4384207396327376,0.635406739607742,0.6837305582688624,0.037517221502755375,-0.716040284075086,0.6134213899660107,-0.9502004659484343,0.10913856071842915,0.1570749265147353,-0.01613625105412016,-0.06602303322107546,0.2459274847753128,0.25532177698570796,6,0,0,1,0,3.8651354012507895,1.1753972731171065
36,1.0,3.0,-1.1404962783177512,-1.5469424065345991,0.7253469880823399,-0.7075016972513015,-0.6954692974960969,-0.3210482150602518,-0.6225123707437573,-0.8899413288333803,1.2272187133091714,-1.3490291859618468,-0.7685559471968509,-0.811685070359543,-0.665021742024122,-0.4482588113184707,-0.9779556478920017,0.3655475929959263,-0.36238421169591395,-1.2473749591416088,-0.9389866287377449,-0.6147329374641873,0.23425228795718214,-1.3599356932052031,-1.3431760568643765,5,0,1,0,0,0.5680636468918275,0.4015137347557567
152,1.0,3.0,-0.23290933985623305,-0.7995315537816966,0.7253469880823399,0.20078606806505134,0.4124195920584623,-0.3892465216632443,-0.044460088185904266,0.1644503324894655,-0.7987102117534631,0.11290486582023897,0.127525330477171,-0.00570988506130831,0.27324072774491065,0.1859487870870189,0.42516237255576134,-0.24718344438043888,-0.19583627299103318,0.4404207827922173,1.2442756495961849,0.6358384838256345,1.4648289243000294,-0.28013114249416654,-0.24313454144386218,5,0,0,0,1,-0.09392902292387785,-0.03543911376232485
439,0.0,3.0,0.37214861911811237,0.44615320080647425,-0.1682505900190992,0.8466795900677911,0.4547054275376439,1.2922618692197536,0.0915522135924141,-0.2604537698346664,1.3204433669161486,-0.8279437813662519,-0.33623603252955964,-0.6559853186542022,-0.76764419965511,0.1319736723291049,-1.314703972799465,1.3843333266181033,-0.9599974035193096,0.1684206425632123,-0.1987362192210112,0.05630538615474147,-0.34435975277036546,0.23208383668927388,0.16469335545305874,6,0,1,0,0,0.9858158200328497,0.771785144157296
193,0.0,3.0,0.37214861911811237,0.1970162498888401,0.12961526934804715,-0.12216069293631858,-0.19649643884175347,0.1901083460920179,0.5449265528534754,0.6208288127635331,-0.34603842411143043,0.16356594682258846,-0.14758734249292346,0.37896008974012185,0.27324072774491065,0.2264301231554544,0.6309530155547666,-0.3423424658309658,-0.44075971226291666,0.2660617185428551,-0.040597932227346395,-0.027574404297624627,-0.4835281125450119,0.5781750388402471,0.5045499362004929,6,1,0,0,0,0.6259008723806072,-0.8426633716819458
440,0.0,3.0,0.6746775986052851,0.6952901517241085,-0.1682505900190992,0.7255745546922775,0.3616765894834443,1.1980616685145302,-0.25981289933490836,-0.11881906905995576,-0.5612119395579074,0.6991259459902832,0.15896677881661037,0.699518402074647,0.46382529191674543,1.6027955494822617,0.16324700873884557,1.2556686077566086,-0.7836525272435536,0.6112926657565922,0.09777306889211136,0.3003193220161701,-0.364240947023888,0.6681587513995002,0.5272070415836551,6,1,0,0,0,0.6259008723806072,0.771785144157296
72,0.0,3.0,0.37214861911811237,0.9444271026417426,-0.7639823087533919,-0.7882383875016441,-0.9322699761795141,0.10598538380416198,1.1343131938928548,0.8647552418755348,0.723900862036547,0.7570243242786827,-0.7449748609422714,1.8260518997074067,0.5664477495477334,-0.02995167194463713,0.6870777363726771,-0.5996369422949068,-0.8228402775270549,0.4369336015072301,0.2559113558857762,0.06393082165041111,-0.34435975277036546,0.7512206399157337,0.6858067792657913,6,0,1,0,0,3.1453055059463044,0.36817301519748563
312,0.0,3.0,0.37214861911811237,0.6952901517241085,-0.4661164493862455,-0.8084225600642296,-1.4227856677380213,1.7309122829155856,-0.5771749368176512,-0.8269925729335089,1.11645290896565,-0.8062318895081021,-1.0358082580820855,0.18662510233940677,-0.7090027952945455,0.1859487870870189,-1.314703972799465,1.445726243682951,-1.0383729040863123,-0.2953744683400911,-0.9894276541893381,-0.6604855504382051,-1.4775878252210537,0.6127841590553444,0.549177568015813,6,0,1,0,0,2.065560662989577,-0.03543911376232485
271,1.0,3.0,0.6746775986052851,-0.5503946028640624,1.3210787068166325,0.019128515001780765,0.3870480907709533,-0.8360716769949231,0.7829480809655325,0.9749155647003097,-0.7120808173635254,0.829397297139182,-0.10828553206862425,1.175776466114513,1.0355789844322498,0.6177497051503309,1.0238260612801402,-0.29038782768266586,-0.8914188405231823,0.4543695079321663,-0.1592016474725971,1.0819264603223087,0.8485119024408847,-1.0622972593553661,-1.1494187567703555,5,0,0,0,1,-0.45384397057612036,1.1753972731171065
421,1.0,3.0,0.37214861911811237,-0.05212070102879409,0.4274811287151935,-0.4249232813751029,-0.7039264645919332,0.6691488318151678,0.3862455341121039,0.628697407251017,-0.8864320878950587,0.011582703815539946,-0.31265494627498014,0.37896008974012185,0.5811081006378745,-0.3807899178710782,0.2942046906473035,-0.6355091480775302,-0.5387290879716701,0.053343660158633247,-0.39640907796309294,0.34225921724235314,0.09302652080709067,-0.5154731599568284,-0.5603340168081319,5,0,0,1,0,-0.09392902292387785,-0.8426633716819458
